9300	1.097 0.1767 -0.4474 -2.442 0.4244	0.1371 1.047 -1.37 -0.05143 -1.476	-2.281 -0.1344 1.112 0.06334 0.3146	-0.2715 -2.052 -0.3911 1.162 0.8209	2.568 2.151 2.694 2.697 -4.668
9400	1.248 0.1976 -0.2983 -2.426 0.3905	0.1913 1.103 -1.269 -0.1602 -1.531	-2.372 -0.1311 1.212 0.07901 0.4411	-0.2757 -2.007 -0.5358 1.245 0.728	2.574 2.136 2.786 2.669 -4.632
9500	1.179 0.1421 -0.3613 -2.359 0.3804	0.1539 1.208 -1.358 -0.07221 -1.569	-2.309 -0.01344 1.227 0.07649 0.3702	-0.3101 -2.027 -0.4126 1.231 0.5899	2.603 2.12 2.894 2.741 -4.683
9600	1.158 0.1567 -0.3308 -2.306 0.3922	0.1992 1.111 -1.326 -0.07849 -1.582	-2.292 -0.09868 1.121 0.128 0.3589	-0.161 -2.101 -0.4544 1.22 0.515	2.575 2.082 2.907 2.721 -4.66
9700	1.167 0.2421 -0.3939 -2.281 0.4328	0.2379 1.181 -1.339 -0.02887 -1.577	-2.36 -0.1875 1.199 0.214 0.3609	-0.152 -2.05 -0.4631 1.268 0.5381	2.647 2.103 2.924 2.77 -4.674
9800	1.183 0.2497 -0.386 -2.32 0.4752	0.2242 1.209 -1.369 -0.07179 -1.582	-2.349 -0.1885 1.171 0.1635 0.3422	-0.1616 -2.078 -0.4629 1.25 0.5383	2.676 2.155 2.908 2.763 -4.707
9900	1.251 0.2773 -0.3363 -2.389 0.5636	0.2891 1.223 -1.313 -0.006718 -1.633	-2.402 -0.1414 1.282 0.1328 0.2049	-0.06317 -2.139 -0.4527 1.331 0.6096	2.673 2.191 2.898 2.776 -4.859
10000	1.245 0.2734 -0.317 -2.421 0.5685	0.2338 1.187 -1.304 -0.04422 -1.598	-2.412 -0.1411 1.214 0.1224 0.1853	-0.06048 -2.177 -0.4745 1.294 0.5976	2.707 2.16 2.96 2.814 -4.848
10100	1.243 0.2532 -0.3503 -2.44 0.6458	0.2237 1.156 -1.311 0.02776 -1.643	-2.376 -0.1307 1.225 0.2074 0.2445	-0.082 -2.174 -0.537 1.245 0.6046	2.673 2.157 3.008 2.755 -4.881
10200	1.223 0.1986 -0.2652 -2.44 0.5641	0.3559 1.164 -1.263 0.06516 -1.612	-2.475 -0.1737 1.189 0.1913 0.2216	0.01793 -2.342 -0.5289 1.291 0.4964	2.678 2.299 3.076 2.703 -4.764
10300	1.209 0.2229 -0.2915 -2.376 0.5376	0.438 1.144 -1.353 0.05342 -1.586	-2.58 -0.1165 1.17 0.1434 0.2518	-0.03488 -2.416 -0.4884 1.335 0.4026	2.628 2.248 3.01 2.704 -4.794
10400	1.245 0.1987 -0.267 -2.43 0.4883	0.4377 1.153 -1.359 0.02157 -1.588	-2.607 -0.1046 1.18 0.08988 0.2924	-0.03572 -2.397 -0.5148 1.311 0.4107	2.616 2.251 3.023 2.683 -4.791
10500	1.234 0.07463 -0.2513 -2.584 0.5313	0.3923 1.152 -1.413 0.06286 -1.525	-2.52 -0.009427 1.292 0.1244 0.3707	-0.06294 -2.36 -0.4867 1.298 0.3995	2.562 2.305 2.888 2.821 -4.797
10600	1.234 0.07463 -0.2513 -2.584 0.5313	0.3923 1.152 -1.413 0.06286 -1.525	-2.52 -0.009427 1.292 0.1244 0.3707	-0.06294 -2.36 -0.4867 1.298 0.3995	2.562 2.305 2.888 2.821 -4.797
10700	1.222 0.08607 -0.2226 -2.596 0.5492	0.3987 1.141 -1.449 0.04619 -1.512	-2.553 0.002709 1.273 0.1019 0.4083	-0.02347 -2.351 -0.5041 1.282 0.4285	2.565 2.339 2.892 2.788 -4.803
10800	1.245 0.05361 -0.244 -2.534 0.5474	0.4009 1.121 -1.378 0.05615 -1.488	-2.529 0.05665 1.197 0.07392 0.435	0.0124 -2.348 -0.5222 1.349 0.391	2.564 2.354 2.975 2.773 -4.854
10900	1.25 0.01136 -0.2381 -2.504 0.5504	0.4363 1.134 -1.357 0.06419 -1.519	-2.566 0.09713 1.189 0.08812 0.4119	0.005459 -2.347 -0.5131 1.31 0.3976	2.607 2.385 2.992 2.783 -4.859
